cod,texto
i1,implementación materiales adecuados alumnos padres familia implementen referente lectoescritura
i2,trabajar proyecto abarcar lectoescritura favorecer alumnos
i3,escoger materiales adecuados metodologías propuestas NEM
i4,dominio plan estudios
i5,desafíos enseñar forma global generalizada basarnos proyectos tiempo suficiente puntuales específicos planear actividades conocer libros de texto temas libros
i6,reto autista aprendizaje severo aprendezaje corto plazo reto avanzar todos paciencia dedicación
i7,práctica lenguajes potencien gradualmente uso
i8,libros texto proyectos adquisición lenguaje
i9,apoyo casa
i10,crear personas autónomas reflexivos críticos
