cod,texto
i1, falta práctica casa
i2,Confunden sonido grafía proceso silábico conocimiento sílabas grafía separar palabras
i3,Falta maduración Falta reforzamiento en casa no cursaron jardín de niños
i4, alumnos no escriben convencionalmente no leen alumnos no leen comprenden leen y escriben eficientemente
i5,lectura falta de comprensión la fluidez el ritmo entonación lectura redacción la falta de coherencia  ideas ortografía falta implementación uso de los signos de puntuación
i6,lecto escritura comprensión
i7,falta de comprensión lectora
i8,Comprensión lectura
i9,No identificación de letras
i10,Maduración motricidad falta de apoyo en casa
